Марка,Количество перевозок по марке,"Список маршрутов, по которым перевозилась марка"
Great Wall,6,Красноярск - Красноярск; Красноярск - Санкт-Петербург; Москва - Екатеринбург; Москва - Курган; Москва - Томск; Москва - Чита
Haval,27,Владивосток - Москва; Москва - Воронеж; Москва - Екатеринбург; Москва - Новосибирск; Москва - Омск; Москва - Санкт-Петербург; Москва - Томск; Москва - Чебоксары; Москва - Чита; Новосибирск - Уфа; Санкт-Петербург - Москва; Тюмень - Нефтеюганск; Уфа - Тюмень
Hino,1,Энгельс - Владивосток
Honda,63,Абакан - Красноярск; Владивосток - Екатеринбург; Владивосток - Краснодар; Владивосток - Москва; Владивосток - Тюмень; Екатеринбург - Екатеринбург; Екатеринбург - Красноярск; Екатеринбург - Тольятти; Иркутск - Омск; Иркутск - Хабаровск; Казань - Казань; Казань - Омск; Красноярск - Москва; Красноярск - Чита; Москва - Воронеж; Москва - Иркутск; Москва - Калининград; Москва - Краснодар; Москва - Москва; Москва - Новосибирск; Москва - Ростов-на-Дону; Москва - Санкт-Петербург; Москва - Тюмень; Москва - Уфа; Нижневартовск - Тюмень; Новосибирск - Ростов-на-Дону; Новосибирск - Хабаровск; Омск - Екатеринбург; Санкт-Петербург - Мурманск; Санкт-Петербург - Новосибирск; Санкт-Петербург - Самара; Санкт-Петербург - Санкт-Петербург; Тольятти - Москва; Тюмень - Омск; Тюмень - Сургут
Hyundai,69,Владивосток - Владивосток; Владивосток - Казань; Владивосток - Москва; Владивосток - Новосибирск; Владивосток - Ростов-На-Дону; Владивосток - Тольятти; Владивосток - Тюмень; Екатеринбург - Екатеринбург; Екатеринбург - Тольятти; Екатеринбург - Тюмень; Иркутск - Москва; Казань - Москва; Краснодар - Уфа; Красноярск - Москва; Кропоткин - Москва; Минск - Москва; Москва - Елец; Москва - Казань; Москва - Калининград; Москва - Краснодар; Москва - Красноярск; Москва - Кропоткин; Москва - Минск; Москва - Москва; Москва - Самара; Москва - Санкт-Петербург; Москва - Сургут; Москва - Уфа; Москва - Челябинск; Новосибирск - Москва; Новосибирск - Санкт-Петербург; Омск - Москва; Самара - Москва; Санкт-Петербург - Владикавказ; Тольятти - Владикавказ; Тольятти - Краснодар; Тольятти - Ростов-на-Дону; Тюмень - Ижевск; Тюмень - Казань; Тюмень - Москва; Тюмень - Нижневартовск; Тюмень - Челябинск; Уфа - Красноярск
Infiniti,8,Москва - Казань; Москва - Москва; Москва - Новосибирск; Москва - Свободный; Нальчик - Тольятти; Ростов-на-Дону - Тольятти; Тольятти - Новосибирск
Isuzu,2,Саратов - Тольятти; Тольятти - Хабаровск
Jaecoo,2,Москва - Москва; Москва - Ростов-на-Дону
Jaguar,7,Владикавказ - Санкт-Петербург; Минеральные Воды - Москва; Москва - Санкт-Петербург; Пермь - Москва; Пермь - Пермь; Санкт-Петербург - Невинномысск
Jeep,17,Екатеринбург - Москва; Красноярск - Санкт-Петербург; Минеральные Воды - Минеральные Воды; Минеральные Воды - Москва; Москва - Владикавказ; Москва - Екатеринбург; Москва - Красноярск; Москва - Москва; Москва - Невинномысск; Москва - Пермь; Москва - Санкт-Петербург; Нальчик - Москва
